,Unnamed: 0,Nombre,Codigo,Almacenamiento,Procesador,Memoria Ram,Precio,Fecha
66,66.0,Notebook Lenovo Ideapad S145-14ast,840418001,500 Gb,Amd A4,4 Gb,299990,2021-09-15
67,67.0,Notebook Msi Modern 14 B10mw-258cl,867618001,256 Gb,Intel Core I5,8 Gb,909990,2021-09-15
68,68.0,Notebook Dell G5 15 5500,857109001,256 Gb,Intel Core I7,8 Gb,1249990,2021-09-15
69,69.0,Notebook Lenovo Ideapad S145,843715001,128 Gb,Intel Core I3,4 GB,449990,2021-09-15
70,70.0,HP Chromebook,42710,32GB eMMC,"AMD® A4-9120, 1,6GHz hasta 2,4GHz (1M Caché L2)",4 GB (1x4GB) DDR4 2666Mhz (Máx. 32GB de Memoria RAM) X Slot,237090,2021-09-15
71,71.0,HP 240 G7,38020,"SATA de 500 GB, 5400 rpm","Intel® Celeron® N4020, 1,1 GHz hasta 2,8 GHz (4MB caché)",4GB SDRAM DDR4-2400Mhz (1x4GB)(Máx. 8GB de Memoria RAM) 1 Slot,309290,2021-09-15
72,72.0,Asus X515MA-BR288T,41517,"500GB SATA 5400RPM 2.5"" HDD","Intel® Celeron® N4020, 1.1GHz hasta 2.8GHz (4MB Caché)",4GB DDR4 SO-DIMM (Máx. 8GB de Memoria RAM) 1X Slot,340190,2021-09-15
73,73.0,HP 250 G8,41940,1TB Disco duro SATA de 5400 RPM,"Intel® Core™ 3-1005G1, 1,2GHz hasta 3,4GHz (4M Caché L3)",4GB RAM DDR4-2666MHz (1x4GB)(Máx. 16GB de Memoria RAM) 2 Slot,381490,2021-09-15
74,74.0,HP HP 348 G7,42392,HDD 1 TB 5400RPM,"Intel® Core™ i3-10110U, 2,10GHz hasta 4,10GHz (4MB Caché)",4GB DDR4 2666Mhz (Máx. 16 GB de Memoria RAM) 2 Slot,402090,2021-09-15
75,75.0,Asus X412FA-EB1257T,40077,256GB SSD / M.2 NVMe™ PCIe® 3.0,"Intel® Pentium® Gold 5405U, frecuencia básica 2.3 GHz (2M Cache, hasta 2.3 GHz)",4GB DDR4 on board (Máx memoria RAM 4GB),412390,2021-09-15
76,76.0,HP 240 G7,38857,SATA de 1 TB y 5400 rpm,"Intel® Core™ i3-1005G1, 1,2GHz hasta 3,4GHz (4MB caché)",4 GB de SDRAM DDR4-2666 (1x4GB) (Máx. 16GB de Memoria RAM) 2 Slot,422690,2021-09-15
77,77.0,Asus Aspire 3 A314-22-R522-1,42823,256GB SSD PCI Express,"AMD Athlon™ 3050U, 2.30GHz hasta 3.20GHz (4MB Caché)",12GB DDR4 SDRAM 2400/2666/3200Mhz (4GB On Board + 1 Slot)(Máx. 12GB de Memoria RAM) 1 Slot,453590,2021-09-15
78,78.0,HP 14-dq2026la,43015,Unidad de estado sólido Intel® PCIe® NVMe™ M.2 de 256 GB,"Intel® Core™ i3-1115G4, hasta 4,1GHz (6MB caché L3)",4GB RAM DDR4-3200MHz (1x 4GB) + 16GB Intel® Optane™ (Máx. 4GB de Memoria RAM) 1 Slot (Ranura no accesible para el usuario),463890,2021-09-15
79,79.0,HP Pavilion x360,42691,SSD PCIe® NVMe™ M.2 de 256GB,"Intel® Pentium Gold 7505, hasta 3,5GHz (4MB Caché L3)",4 GB DDR4-3200MHz (1x4GB) (Máx.16 GB de Memoria RAM) X Slot,484490,2021-09-15
80,80.0,Asus X515EA-BQ507T,41554,256GB M.2 NVMe™ PCIe® 3.0 SSD,"Intel® Core™ i3-1115G4, 3.0GHz hasta 4.1GHz (6MB Caché)",4GB DDR4 2666MHz (on board) (Máx. 12GB de Memoria RAM) 1 Slot,494890,2021-09-15
81,81.0,HP 15-ef1018la,41355,256GB SSD PCIe® NVMe™ M.2,"AMD Ryzen™ 5 4500U, 2,3GHz hasta 4,0GHz (8MB Caché L3)",8 GB de SDRAM DDR4-2666 (1x8GB) (Máx. 16 GB de Memoria RAM) X 2 Slot,515490,2021-09-15
82,82.0,Huawei Matebook D 15,43264,SSD N4VMe PCIe de 256GB,"Intel® Core™ i3-10110U, 2,10GHz hasta 4,10GHz (4MB Caché)",8GB DDR4 2400MHz  (Máx. 8GB de Memoria RAM) 1 Slot,546390,2021-09-15
83,83.0,Asus Aspire 3 A314-22-R56E-1,43016,256GB SSD PCI Express,"AMD Ryzen™ 3 3250U, 2.60GHz hasta 3.50GHz (4MB Caché)",12GB (4GB On Board + 1 Slot)(Máx. 12GB de Memoria RAM) 1 Slot,549990,2021-09-15
84,84.0,Huawei Matebook D 14,43263,SSD NVMe PCIe de 256GB,"Intel® Core™ i3-10110U, 2,10GHz hasta 4,10 GHz (4MB Caché)",8GB DDR4 2400 MHz (Máx. 8GB de Memoria RAM) ,566990,2021-09-15
85,85.0,HP 14-dy0501la,43061,Unidad de estado sólido PCIe® NVMe™ M.2 de 256 GB,"Intel® Core™ i3-1125G4, hasta 3,70GHz (8MB caché)",8 GB de RAM DDR4-3200 MHz (2x4GB)(Máx. 16GB de Memoria RAM) 2 Slot ,659790,2021-09-15
86,86.0,Huawei Matebook D 14,42359,SSD NVMe PCIe de 512 GB,"Intel® Core™ i5-10210U, 1,60GHz hasta 4,20GHz (6MB caché)",8GB DDR4 2400 mhz ,721690,2021-09-15
87,87.0,HP 15-ec1026la,37289,256GB SSD PCIe®  NVMe™ M.2,"AMD Ryzen™ 5 4600H, 3.0GHz hasta 4,0 GHz (3MB caché)",8GB SDRAM DDR4 3200Mhz (Máx. 16GB de Memoria RAM) 2 Slot ,731990,2021-09-15
88,88.0,HP 15-eh0011la,43062,Unidad de estado sólido M.2 PCIe® NVMe™ de 512 GB,"AMD Ryzen™ 7 4700U, 2,0GHz hasta 4,1GHz (8MB caché L3)",16 GB de SDRAM DDR4-3200 (2x8GB)(Máx. 16GB de Memoria RAM) 2 Slot ,804090,2021-09-15
89,89.0,HP Pavilion Aero 13-be0501la,42281,Unidad de estado sólido M.2 PCIe® NVMe™ de 512 GB,"AMD Ryzen™ 5 5600U, 2,3 GHz hasta 4,2GHz (16MB Caché L3)",8GB RAM DDR4-3200 MHz (integrada)(Máx. GB de Memoria RAM) X Slot,814390,2021-09-15
90,90.0,Asus D433IA-EB934R,43186,512GB M.2 NVMe™ PCIe® 3.0 SSD,"AMD Ryzen™ 7 4700U, 2.0GHz hasta 4.1GHz (8MB Caché)",16GB DDR4 2666 MHz (on board)(Máx.16 GB de Memoria RAM) X Slot,824790,2021-09-15
91,91.0,HP 15-dk1028la,42347,256GB SSD / Unidad de estado sólido Intel,"Intel® Core™ i5-10300H, 2,5 GHz hasta 4,5GHz (8MB Caché L3)",8GB SDRAM DDR4-2933Mhz (1x8GB) + 16GB Intel Optane (Máx. 32GB de Memoria RAM) X 2 Slot,824790,2021-09-15
92,92.0,Asus ideapad S540-13IML,42015,512GB SSD M.2 2280 PCIe 3.0x4 NVMe,"Intel® Core™ i5-10210U, 1.6GHz hasta 4.2GHz (6M Caché)",8GB Soldered DDR4-2666Mhz (Máx.16 GB de Memoria RAM) X Slot,835090,2021-09-15
93,93.0,Asus ideapad S540-13IML,42528,512GB SSD M.2 2280 PCIe 3.0x4 NVMe,"Intel® Core™ i5-10210U, 1.6GHz hasta 4.2GHz (6M Caché)",8GB Soldered DDR4-2666Mhz (Máx.16 GB de Memoria RAM) X Slot,855690,2021-09-15
94,94.0,Asus X571GT-BQ930T,41518,512GB M.2 NVMe™ PCIe® 3.0 SSD,"Intel® Core™ i5-9300H, 2.4GHz hasta 4.1GHz (8MB Caché)",8GB DDR4 (4GB DDR4 on board + 4GB DDR4 SO-DIMM) (Máx. 12 GB de Memoria RAM) 1Slot,855690,2021-09-15
95,95.0,Acer Nitro 5 AN515-55-56P2-2,42048,512GB SSD PCI Express,"Intel® Core™ i5-10300H, 2.50GHz hasta 4.50GHz (8M Caché)",16GB DDR4 SODIMM 2400/2666/3200Mhz (Máx. 32GB de Memoria RAM) 2 Slot,865990,2021-09-15
96,96.0,HP 13-ba1123la,39513,Unidad de estado sólido PCIe® NVMe™ M.2 de 256 GB ,"Intel® Core™ i5-1135G7,  hasta 4.2 GHz (8M Caché)",8GB de SDRAM DDR4-2933 (incorporada) (8GB Máx. Memoria) + Intel® Optane™ de 16GB,927790,2021-09-15
97,97.0,Asus ROG Strix G15 G512LI-HN061T,40482,512GB SSD M.2 NVMe™ PCIe® 3.0,"Intel® Core™ i5-10300H, 2.5 GHz hasta 4.5GHz (8M Caché)",8GB DDR4 SO-DIMM 2933MHz (Máx. 32GB de Memoria RAM) 2 Slot,958790,2021-09-15
98,98.0,Apple Macbook Air,41980,SSD de 256 GB,M1 de Apple 8 núcleos con 4 núcleos de rendimiento y 4 de eficiencia,8 GB,999990,2021-09-15
99,99.0,Asus FX506HC-HN042T,42186,512GB M.2 NVMe™ PCIe® 3.0 SSD,"Intel® Core™ i5-11400H, 2.7GHz hasta 4.5GHz (12MB Caché)",8GB DDR4 SO-DIMM (Máx. 32GB de Memoria RAM) 2 Slot,999990,2021-09-15
100,100.0,Apple Macbook Air,40890,SSD de 256 GB,M1 de Apple 8 núcleos con 4 núcleos de rendimiento y 4 de eficiencia,8 GB,999990,2021-09-15
101,101.0,Apple Macbook Air,40893,SSD de 256 GB,M1 de Apple 8 núcleos con 4 núcleos de rendimiento y 4 de eficiencia,8 GB,999990,2021-09-15
102,102.0,Lenovo Ideapad s540,40025,512GB SSD M.2 2280 PCIe 3.0x4 NVMe,"Intel Core i7-10510U, desde 1.8GHz hasta 4.9GHz",16GB DDR4 2666MHz ( Máx. RAM soportada 16GB),999990,2021-09-15
103,103.0,Huawei Matebook X,42709,SSD NVMe PCIe de 512 GB,"Intel® Core™ i5-10210U, 1,60GHz hasta 4,20GHz (6MB Caché)",16GB LPDDR3 (Máx. 16GB de Memoria RAM) 1 Slot,1133990,2021-09-15
104,104.0,Asus UX435EG-AI094TS,37724,512GB SSD M.2 NVMe™ PCIe®,"Intel® Core™ i5-1135G7, 2.4 GHz hasta 4.2GHz (8M Cache)",8GB LPDDR4X (on board) + 32GB de memoria Intel® Optane™(Máx. 8GB de Memoria RAM) 1 Slot,1133990,2021-09-15
105,105.0,Asus FX516PC-HN021T,41903,512GB M.2 NVMe™ PCIe® 3.0 SSD,"Intel® Core™ i7-11370H, 3.3GHz hasta  4.8GHz (12MB Caché)",8GB DDR4 3200Mhz (on board)(Máx. 32GB de Memoria RAM) 1 Slot,1133990,2021-09-15
106,106.0,HP OMEN 15-en0002la,40501,512GB SSD M.2 PCIe® NVMe™,"AMD Ryzen™ 7 4800H, 2,9GHz hasta 4,3GHz (4MB caché L2)",16GB SDRAM DDR4-3200Mhz (2x8GB) (Máx. 16GB de Memoria RAM) 2 Slot ,1185590,2021-09-15
107,107.0,Huawei Mate Xpro,42708,SSD NVMe PCIe de 512 GB,"Intel® Core™ i5-1135G7, hasta 4,20GHz (8MB Caché)",16GB LPDDR4x (Máx. 16GB de Memoria RAM) 1 Slot,1237090,2021-09-15
108,108.0,Apple Macbook Air,42014,SSD de 512 GB,M1 de Apple 8 núcleos con 4 núcleos de rendimiento y 4 de eficiencia,8 GB,1237090,2021-09-15
109,109.0,Apple Macbook Air,40892,SSD de 512 GB,M1 de Apple 8 núcleos con 4 núcleos de rendimiento y 4 de eficiencia,8 GB,1237090,2021-09-15
110,110.0,Apple Macbook Air,40894,SSD de 512 GB,M1 de Apple 8 núcleos con 4 núcleos de rendimiento y 4 de eficiencia,8 GB,1237090,2021-09-15
111,111.0,Apple Macbook Pro,42282,SSD de 256 GB,M1 de Apple 8 núcleos con 4 núcleos de rendimiento y 4 de eficiencia,8 GB,1288690,2021-09-15
112,112.0,Apple Macbook Pro,41175,SSD de 256 GB,M1 de Apple 8 núcleos con 4 núcleos de rendimiento y 4 de eficiencia,8 GB,1288690,2021-09-15
113,113.0,Lenovo Legion 5,39613,1TB HD 5400rpm 2.5 7MM + 128GB SSD M.2 2242 NVME TLC,"Intel® Core™ i7-10750H, 2,60GHz hasta 5,00GHz (6M Cache)",16GB 2933 SODIMM (8GBx2)(Máx. 16GB de Memoria RAM) 2 Slot,1288690,2021-09-15
114,114.0,HP 13-ba1124la,39511,512GB SSD / Unidad de estado sólido Intel® PCIe® NVMe™ M.2,"Intel® Core™ i7-1165G7,  hasta 4.7 GHz (12M Caché)",8GB SDRAM DDR4 2933Mhz + 32GB Intel® Optane™(8GB Máx. Memoria),1340190,2021-09-15
115,115.0,Lenovo ThinkPad X13,41852,512GB SSD M.2 2280 PCIe 3.0x4 NVMe,"Intel® Core™ i5-10210U, hasta 4.2GHz (6MB Caché)",16GB DDR4-2666Mhz (Máx. 16 GB de Memoria RAM soldada) ,1349990,2021-09-15
116,116.0,Lenovo Yoga 9 14ITL5,40625,1TB SSD M.2 NVME,"Intel® Core™ i5 -1135G7 hasta 4,20 GHz.","16GB Soldered LPDDR4x-4266(Memoria soldada al tablero del sistema, sin ranuras)",1499990,2021-09-15
117,117.0,Asus Matebook X Pro,42706,SSD NVMe PCIe de 1TB,"Intel® Core™ i7-1165G7, 2.80GHz hasta 4.70GHz (12MB Caché)",16GB LPDDR4x ,1546390,2021-09-15
118,118.0,"TUF Gaming F15 FX506LH-HN110T Intel Core i5 8GB RAM 512GB SSD NVIDIA GeForce GTX 1650 15.6"" 144Hz",15059525,512GB,INTEL CORE I5,8GB,799990,2021-09-15
119,119.0,"Notebook Gamer Nitro 5 AN515-55-56P2-1 Intel Core i5 12GB RAM 512 GB SSD NVIDIA GeForce GTX 1650 15.6""",15016083,512GB,INTEL CORE I5,12GB,799990,2021-09-15
120,120.0,"Pavilion Gaming 15-DK1044LA Intel Core i5 8GB RAM 512GB SSD NVIDIA GTX 1660Ti 15.6"" 60 Hz",15261226,512GB,INTEL CORE I5,8GB,799990,2021-09-15
121,121.0,"Notebook Gamer Legion 5 AMD Ryzen 5 5600, 16GB RAM, 1TB SSD, 6GB NVIDIA GeForce RTX 3060, 15.6"" FHD",15160163,1TB,AMD RYZEN R5,16GB,1269990,2021-09-15
122,122.0,"Notebook Pavilion Gaming 15-dk1037la Intel® Core i7 16GB 1TB + 128GB SSD NVIDIA GeForce GTX 1660Ti 15,6""",15224419,128GB,INTEL CORE I7,16GB,999990,2021-09-15
123,123.0,"TUF Gaming F15 FX506LH-HN155T Intel Core i7 8GB RAM 512GB SSD NVIDIA GeForce GTX 1650 15.6""",15219714,512GB,INTEL CORE I7,8GB,969990,2021-09-15
124,124.0,"Notebook Pavilion Gaming 15-ec1026la AMD Ryzen 5 8GB 256GB SSD PCIe 15.6""",15359794,256GB,AMD RYZEN R5,8GB,749990,2021-09-15
125,125.0,"Notebook HP Pavilion Gaming 15-dk1028la Intel Core i5 8GB RAM 256GB SSD NVIDIA GTX 1050 15.6"" 60 Hz",15331812,256GB,INTEL CORE I5,8GB,799990,2021-09-15
126,126.0,"ROG Strix G15 G513QM-HF276T AMD Ryzen 9 16GB RAM 512GB SSD NVIDIA GeForce RTX 3060 15.6""",15219747,512GB,AMD RYZEN 9,16GB,1559990,2021-09-15
127,127.0,"Pavilion Gaming 15-DK1043LA Intel Core i5 8GB RAM 512GB SSD NVIDIA GTX 1650Ti 15.6"" 60 Hz",15261225,512GB,INTEL CORE I5,8GB,829990,2021-09-15
128,128.0,"Notebook Pavilion Gaming Intel Core i5-10300H 8GB RAM + 32GB Intel Optane 512GB SSD NVIDIA GeForce GTX 1650 16.1""",14449258,512GB,INTEL CORE I5,8GB,949990,2021-09-15
129,129.0,"HP Pavilion Gaming 15-ec1024la AMD Ryzen 7 4800H 8GB 512GB SSD PCIe 15.6""",15477982,512GB,AMD RYZEN R7,8GB,849990,2021-09-15
130,130.0,"ROG Zephyrus G14 GA401QM-K2120T AMD Ryzen 9 16GB RAM 1TB SSD NVIDIA GeForce RTX 3060 14""",15220657,1TB,AMD RYZEN 9,16GB,1799990,2021-09-15
131,131.0,@NTG LENO LEGION I7 8 1T+128S 1660,11235824,128GB,INTEL CORE I7,8GB,1199990,2021-09-15
132,132.0,"Alienware NB 15 m15 R3 Intel Core i7 16GB RAM 512GB SSD NVIDIA® GeForce RTX¿ 2070 15.6""",15261223,512GB,INTEL CORE I7,16GB,1899990,2021-09-15
133,133.0,"Notebook Gamer OMEN Intel Core i5 8GB RAM + 32GB Intel Optane 512GB SSD NVIDIA GeForce RTX 2060 15.6""",14449248,512GB,INTEL CORE I5,8GB,1099990,2021-09-15
134,134.0,"Notebook ROG Flow X13 GV301QH-K6291T AMD Ryzen 9 16GB RAM 1TB SSD NVIDIA GeForce GTX 1650 13.3""",14954807,1TB,AMD RYZEN 9,16GB,2699990,2021-09-15
135,135.0,"Alienware NB 15 m15 R3 Intel Core i7 16GB RAM 512GB SSD NVIDIA® GeForce RTX¿ 2060 15.6""",15261222,512GB,INTEL CORE I7,16GB,1799990,2021-09-15
136,136.0,Notebook Legion 7i Intel Core i7-10750H 32GB RAM 1TB SSD Nvidia Geforce RTX2080 Super Max-Q 240HZ,11236440,1TB,INTEL CORE I7,32GB,2519990,2021-09-15
137,137.0,Notebook V145-14AST A4-9125 4Gb 500Gb 14 W10H,15360016,NO APLICA,AMD A4,4GB,399990,2021-09-15
138,138.0,"Katana GF76 11UD Intel Core i7 16GB RAM 512GB SSD NVIDIA® GeForce RTX¿ 3050 Ti 4GB 17.3"" 144 Hz",15320552,512GB,INTEL CORE I7,16GB,1399990,2021-09-15
139,139.0,"ROG Zephyrus Duo 15 SE GX551QS-HB261T AMD Ryzen 9 32GB RAM 2TB SSD NVIDIA GeForce RTX 3080 15.6"" 120Hz",15402356,2TB,AMD RYZEN 9,32GB,3999990,2021-09-15
140,140.0,NTG LENO LEGION I5 16 1T+128S 2060,11235697,128GB,INTEL CORE I5,16GB,1199990,2021-09-15
141,141.0,"Notebook Pavilion Gaming 16-a0004la Intel® Core i7 12GB 512GB SSD PCIe 16""",15229611,512GB,INTEL CORE I7,12GB,1499990,2021-09-15
142,142.0,Notebook Gamer 15-EK0008 Intel Core i7-10750H 32GB RAM + 32 Intel Optane 512GB SSD NVIDIA GeForce RTX 2070 144Hz,13781047,512GB,INTEL CORE I7,32GB,1999990,2021-09-15
143,143.0,Pavilion Gaming Ryzen 7 8GB RAM 512GB SSD 156,15229254,512GB,AMD RYZEN R7,8GB,1099990,2021-09-15
144,144.0,Legion Slim 7i Core i7 10 Gen 16GB 512SSD GTX1660,14984188,512GB,INTEL CORE I7,16GB,1499990,2021-09-15
145,145.0,"Pavilion Gaming 15-dk1022la Intel® Core i7 8GB RAM + 16GB Intel® Optane 256GB SSD 15,6""",15224425,256GB,INTEL CORE I7,8GB,1099990,2021-09-15
146,146.0,"Notebook Gamer OMEN Intel Core Intel Core i7-10750H 16GB RAM + 32GB Intel Optane 512GB SSD NVIDIA GeForce RTX 2070 15.6""",14550700,512GB,INTEL CORE I7,16GB,2099990,2021-09-15
147,147.0,"Notebook Gamer Intel Core i7-10750H 12GB RAM 512GB SSD NVIDIA GeForce RTX 2060 16""",14624679,512GB,INTEL CORE I7,12GB,1399990,2021-09-15
148,148.0,Notebook Aorus 15P XC i7-10870H/16GB/512GB/RTX 3070,15425611,512GB,INTEL CORE I7,16GB,2399990,2021-09-15
149,149.0,Notebook Aero I7-10870H 8Gb 512Gb Ssd / Rtx 3060 / W10,15391949,512GB,INTEL CORE I7,8GB,2099990,2021-09-15
150,150.0,"Notebooks Gamer AN515 AMD Ryzen R5 3550H 12GB RAM 1TB HDD + 128GB SSD GeForce® GTX 1650 15.6""",11135800,128GB,AMD RYZEN R5,12GB,749990,2021-09-15
151,151.0,"Notebook Pavilion Gaming 15-ec1026la AMD Ryzen 5 8GB 256GB SSD NVIDIA GeForce GTX 1650 15.6""",13781046,256GB,AMD RYZEN R5,8GB,699990,2021-09-15
